timestamp,age,gender,emotion
2026-06-02 19:32:32.055957,30,Man,neutral
2026-06-03 09:59:17.324053,30,Man,neutral
2026-06-03 10:03:22.863470,30,Man,sad
2026-06-03 11:06:16.401653,30,Man,neutral
2026-06-04 09:48:25.944087,30,Man,neutral
2026-06-04 09:49:13.163175,30,Man,neutral
2026-06-04 10:23:04.279483,30,Man,neutral
2026-06-04 10:48:03.153204,20,Woman,sad
2026-06-06 18:30:42.197309,28,Woman,fear
2026-06-06 19:36:43.714331,29,Man,neutral
2026-06-06 19:39:37.977326,31,Man,sad
2026-06-06 19:56:26.182639,22,Man,angry
2026-06-06 19:58:04.076943,22,Man,angry
2026-06-06 20:01:10.814639,29,Man,neutral
2026-06-06 20:02:14.353088,28,Woman,fear
2026-06-06 20:09:14.349728,28,Woman,fear
